,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster_km,cluster_ag
40,0.468,0.922,0.09090909090909091,0.8980976392390556,0.054,0.000179,2.13e-06,0.211,0.355,0.7124371289100492,Dog On A Leash,Adelitas Way,16,4
41,0.239,0.819,0.2727272727272727,0.9056612422644968,0.0393,0.304,0.0,0.0855,0.439,0.7940468140683038,Angel,Aerosmith,16,10
42,0.183,0.99,1.0,0.9999999999999999,0.269,0.00886,0.000298,0.138,0.431,0.947285543585991,"Baby, Please Don't Go",Aerosmith,14,22
43,0.426,0.903,0.09090909090909091,0.6270456108182443,0.0389,0.00578,0.00945,0.0945,0.762,0.5659602256412156,Back in the Saddle,Aerosmith,43,18
44,0.436,0.68,0.8181818181818182,0.6138895255558101,0.109,0.458,0.0,0.0711,0.821,0.8137024240683964,Big Ten Inch,Aerosmith,23,17
45,0.409,0.512,0.8181818181818182,0.5099702039880816,0.0291,0.0447,7.67e-05,0.493,0.652,0.7985624172139424,Come Together,Aerosmith,18,32
46,0.445,0.856,0.8181818181818182,0.9014898005959202,0.0327,0.000202,0.0101,0.367,0.486,0.49033429357441255,Cryin',Aerosmith,20,12
47,0.334,0.957,0.8181818181818182,0.6870960348384139,0.0491,0.0627,0.615,0.291,0.626,0.6641178595577951,Draw The Line,Aerosmith,25,1
48,0.307,0.433,0.09090909090909091,0.6088929635571854,0.029,0.388,9.08e-05,0.332,0.224,0.7451903037264147,Dream On,Aerosmith,12,3
49,0.54,0.982,0.36363636363636365,0.9341278936511573,0.0458,0.435,3.37e-05,0.0457,0.91,0.5849164960772145,Dude (Looks Like a Lady),Aerosmith,3,44
50,0.517,0.89,0.8181818181818182,0.8850332340132935,0.0539,0.005,1.47e-05,0.0824,0.632,0.5465454478088905,Jaded,Aerosmith,20,47
51,0.633,0.823,0.4545454545454546,0.8044006417602566,0.0287,0.0516,0.000496,0.188,0.444,0.5331051602923332,Janie's Got A Gun,Aerosmith,5,19
52,0.347,0.553,0.4545454545454546,0.5819390327756131,0.0298,0.0347,0.00108,0.114,0.313,0.5704758287868543,Kings and Queens,Aerosmith,15,10
53,0.517,0.504,0.7272727272727273,0.5354114141645656,0.0414,0.026,0.0,0.664,0.741,0.7725618058707473,Last Child,Aerosmith,35,32
54,0.386,0.939,0.0,0.6021086408434563,0.056,0.0149,6.84e-06,0.316,0.448,0.7941116534980872,Let the Music Do the Talking,Aerosmith,16,8
55,0.399,0.881,0.18181818181818182,0.8709145083658032,0.0347,0.0019,0.00429,0.39,0.272,0.39172278364934837,Livin' On The Edge,Aerosmith,37,4
56,0.449,0.961,0.36363636363636365,0.8725647490258995,0.0701,0.00854,0.00276,0.343,0.602,0.43514667605294605,Love In An Elevator,Aerosmith,5,19
57,0.426,0.751,0.36363636363636365,0.5697914279165711,0.0403,0.122,0.00144,0.271,0.889,0.7102650080123011,Mama Kin,Aerosmith,28,29
58,0.444,0.862,0.36363636363636365,0.6157231262892504,0.0336,0.0135,0.0905,0.346,0.713,0.6154327105660483,No More No More,Aerosmith,5,19
59,0.453,0.731,0.4545454545454546,0.6184735273894109,0.0345,0.0557,0.00395,0.162,0.641,0.6124686223473726,One Way Street,Aerosmith,17,20
60,0.431,0.751,0.0,0.8350217740087096,0.0423,0.0134,4.45e-06,0.126,0.777,0.7958947378171344,Pink,Aerosmith,43,4
61,0.579,0.954,0.36363636363636365,0.8889754755901902,0.0558,0.583,0.0,0.139,0.583,0.43279393102937225,Rag Doll,Aerosmith,3,5
